"name_point","latitude","longitude","city","region","is_pause","distance_from_cremlin","tz_from_moscow","link_point"
Елагин остров,"59.97926","30.24624",Санкт-Петербург,Санкт-Петербург,false,641.8922062529558,0,https://5verst.ru/elaginostrov/
Элиста Дружба,"46.306592","44.254279",Элиста,Калмыкия,false,1148.1283075116562,0,https://5verst.ru/elistadruzhba/
Якутск Дохсун,"62.035638","129.714129",Якутск,Саха (Якутия),false,4899.805764245301,6,https://5verst.ru/yakutskdokhsun/
Майкоп Городской парк,"44.599513","40.10295",Майкоп,Адыгея,false,1252.9804862339088,0,https://5verst.ru/maykopgorodskoypark/
Казань центральный парк,"55.79544","49.15252",Казань,Татарстан,false,723.1975764556631,0,https://5verst.ru/kazancentral/
Курган Центральный парк,"55.43238","65.326544",Курган,Курганская,false,1735.8140193106328,2,https://5verst.ru/kurgancentralpark/
Мытищи Центральный парк,"55.910941","37.742125",Мытищи,Московская,false,19.370923963914887,0,https://5verst.ru/mytishchicentralpark/
Ростов-на-Дону,"47.212639","39.707676",Ростов-на-Дону,Ростовская,false,961.019614744308,0,https://5verst.ru/rostovondon/
Йошкар-Ола Аллея Здоровья,"56.626696792139","47.908037439945",Йошкар-Ола,Марий Эл,false,645.7705703515373,0,https://5verst.ru/yoshkarolaalleyazdorovya/
Колпино,"59.7379","30.595847",Санкт-Петербург,Санкт-Петербург,false,609.137944989063,0,https://5verst.ru/kolpino/
Королёв,"55.909138","37.838838",Королёв,Московская,false,22.38334787007174,0,https://5verst.ru/korolev/
Муромец,"55.575124","42.024633",Муром,Владимирская,false,278.1281581829532,0,https://5verst.ru/muromets/
Обнинск,"55.106995","36.609165",Обнинск,Калужская,false,96.01622862773806,0,https://5verst.ru/obninsk/
Стрелка,"57.620778","39.903974",Ярославль,Ярославская,true,250.88934941352557,0,https://5verst.ru/strelka/
Филатов Луг,"55.596522","37.372832",Москва,Москва,false,23.102240953983568,0,https://5verst.ru/filatovlug/
